scode,YYYY,MM,DAY,WIND,Tsun,Press,TAVE,Tmax,Tmin,RH,Rain,GTAVE,GTmax,GTmin,Sevp,Levp
57306,2015,1,1,0.897541290201533,0.0,982.8,6.8,8.8,5.1,0.8,0.0,7.5,10.8,5.7,0.4,0.8
57306,2015,1,2,0.8227461826847386,0.0,980.0,8.5,11.5,6.9,0.81,0.0,8.9,13.6,6.9,0.4,0.7
57306,2015,1,3,0.7479510751679441,0.0,975.8,6.9,10.6,5.2,0.9,0.0,7.5,12.7,4.6,0.4,0.7
57306,2015,1,4,0.9723363977183274,0.0,968.0,5.9,8.4,4.0,0.91,0.0,6.8,8.0,4.1,0.4,0.7
57306,2015,1,5,1.3463119353022994,0.0,970.2,9.6,12.3,7.8,0.64,0.2,8.1,9.8,7.5,0.4,0.8
57306,2015,1,6,1.4211070428190937,4.7,977.9,7.3,12.0,4.7,0.66,0.2,8.8,17.7,4.3,0.4,1.0
57306,2015,1,7,0.897541290201533,1.9,982.3,6.9,11.8,2.7,0.76,0.0,7.9,14.1,2.3,0.4,1.1
57306,2015,1,8,0.8227461826847386,0.0,985.4,7.5,9.5,6.5,0.82,0.0,8.0,11.8,6.5,0.4,0.7
57306,2015,1,9,0.9723363977183274,0.0,985.3,6.2,9.1,3.9,0.87,0.0,7.9,13.2,3.7,0.4,0.9
57306,2015,1,10,1.0471315052351218,1.6,983.7,7.3,10.8,5.8,0.78,0.0,8.7,14.5,6.6,0.4,1.0
57306,2015,1,11,1.0471315052351218,2.5,982.4,7.8,12.2,4.0,0.79,0.0,9.1,16.8,3.6,0.4,1.3
57306,2015,1,12,0.5235657526175609,0.0,982.4,7.6,11.6,4.5,0.84,0.0,8.2,14.5,3.7,0.4,1.4
57306,2015,1,13,1.0471315052351218,0.0,979.7,6.2,9.6,3.1,0.87,0.0,7.2,11.4,3.3,0.4,1.2
57306,2015,1,14,0.7479510751679441,0.0,980.0,9.2,13.8,7.2,0.73,0.0,9.0,15.3,6.8,0.4,1.2
57306,2015,1,15,0.4487706451007665,0.0,978.8,9.3,12.9,7.2,0.73,0.0,8.9,12.9,7.1,0.4,1.1
57306,2015,1,16,0.9723363977183274,7.6,981.5,8.0,15.2,3.5,0.75,0.0,8.3,18.0,2.6,0.4,1.6
57306,2015,1,17,0.897541290201533,0.0,980.5,6.9,8.9,5.5,0.88,0.5,7.0,8.9,4.5,0.4,0.8
57306,2015,1,18,0.8227461826847386,7.6,984.2,8.1,14.7,4.1,0.64,0.0,8.0,17.8,2.4,0.4,1.4
57306,2015,1,19,0.7479510751679441,0.2,979.6,7.5,11.6,4.3,0.79,0.0,7.9,14.5,3.9,0.4,0.8
57306,2015,1,20,0.8227461826847386,5.3,976.8,9.1,16.4,4.2,0.77,0.0,9.5,19.5,2.8,0.4,1.1
57306,2015,1,21,0.7479510751679441,8.0,979.5,8.6,16.2,3.6,0.76,0.0,8.9,19.2,2.2,0.4,1.3
