scode,YYYY,MM,Tsun_sum,Tsun_max,Tsun_min,Tsun_mean,TAVE_max,TAVE_min,TAVE_mean,Tmax_max,Tmax_min,Tmax_mean,Tmin_max,Tmin_min,Tmin_mean,Rain_sum,Rain_max,Rain_mean,GTAVE_max,GTAVE_min,GTAVE_mean,GTmax_max,GTmax_min,GTmax_mean,GTmin_max,GTmin_min,GTmin_mean,Sevp_sum,Sevp_max,Sevp_min,Sevp_mean,name,type,altitude,alt_qiya,lon,lat
57237,2005,1,58.2,8.2,0.0,1.8774193548387097,6.8,-1.0,3.7483870967741937,14.5,3.4,8.264516129032257,4.2,-5.2,0.4612903225806452,5.2,2.5,0.16774193548387098,6.7,-0.2,3.851612903225807,25.3,3.8,13.729032258064517,3.4,-4.9,-0.6935483870967742,120.89999999999999,3.9,3.9,3.9,BB,基准站,400,675.0,282035.3779,3408250.692
57237,2005,10,73.2,9.3,0.0,2.361290322580645,18.9,9.4,14.422580645161291,24.4,12.1,19.038709677419355,17.6,3.3,11.551612903225807,264.0,114.8,8.516129032258064,19.0,9.5,14.958064516129031,31.9,12.0,22.725806451612904,16.7,2.5,11.12258064516129,120.89999999999999,3.9,3.9,3.9,BB,基准站,400,675.0,282035.3779,3408250.692
57237,2005,11,48.5,7.3,0.0,1.6166666666666667,15.4,6.7,10.676666666666668,23.7,8.3,14.933333333333334,12.7,0.9,7.7733333333333325,37.8,13.1,1.26,15.8,6.9,10.713333333333333,30.3,10.2,19.16,11.7,-0.3,6.78,117.0,3.9,3.9,3.9,BB,基准站,400,675.0,282035.3779,3408250.692
57237,2005,12,50.1,8.5,0.0,1.6161290322580646,7.9,0.3,4.583870967741936,14.6,3.7,9.09032258064516,6.7,-5.6,1.5870967741935484,1.2000000000000002,0.4,0.03870967741935485,8.1,1.0,4.554838709677419,21.4,5.0,13.30967741935484,6.4,-5.6,0.3967741935483871,120.89999999999999,3.9,3.9,3.9,BB,基准站,400,675.0,282035.3779,3408250.692
57237,2005,2,29.0,7.3,0.0,1.0357142857142858,11.6,1.5,4.671428571428572,17.3,3.7,8.364285714285714,7.6,-1.4,1.8499999999999999,10.0,5.5,0.35714285714285715,10.1,1.3,4.814285714285715,31.1,2.4,14.924999999999999,4.2,-2.5,0.2857142857142857,109.2,3.9,3.9,3.9,BB,基准站,400,675.0,282035.3779,3408250.692
57237,2005,3,99.3,9.6,0.0,3.203225806451613,14.9,6.1,10.070967741935483,24.1,10.1,15.980645161290322,10.1,-2.7,5.296774193548386,24.2,17.0,0.7806451612903226,16.5,7.2,11.22258064516129,39.8,10.0,26.509677419354837,9.6,-5.0,4.138709677419355,120.89999999999999,3.9,3.9,3.9,BB,基准站,400,675.0,282035.3779,3408250.692
57237,2005,4,144.0,11.0,0.0,4.8,23.1,9.3,16.89,32.2,10.7,24.233333333333334,18.1,5.4,11.603333333333333,42.1,13.2,1.4033333333333333,27.6,8.4,19.066666666666666,55.3,13.1,38.309999999999995,18.2,1.7,10.28,117.0,3.9,3.9,3.9,BB,基准站,400,675.0,282035.3779,3408250.692
57237,2005,5,108.8,12.1,0.0,3.509677419354839,24.3,15.8,19.57741935483871,30.3,18.1,24.76451612903226,20.8,8.2,15.735483870967743,135.1,45.0,4.358064516129032,28.8,16.3,21.30322580645161,53.4,20.0,35.33870967741935,19.5,7.1,15.106451612903227,120.89999999999999,3.9,3.9,3.9,BB,基准站,400,675.0,282035.3779,3408250.692
57237,2005,6,185.8,12.2,0.0,6.193333333333333,27.3,19.3,24.016666666666666,35.9,20.1,30.253333333333334,22.3,15.6,19.266666666666666,176.1,69.3,5.87,34.8,18.9,27.740000000000002,62.2,22.3,46.62,22.4,14.4,19.1,117.0,3.9,3.9,3.9,BB,基准站,400,675.0,282035.3779,3408250.692
57237,2005,7,136.7,11.7,0.0,4.409677419354838,28.4,21.6,25.148387096774194,33.7,23.2,29.938709677419357,24.9,18.1,21.838709677419356,429.2,105.9,13.845161290322581,34.6,21.6,27.825806451612905,55.4,23.3,40.42580645161291,24.7,18.2,21.951612903225808,120.89999999999999,3.9,3.9,3.9,BB,基准站,400,675.0,282035.3779,3408250.692
