variable,training_loss,training_r2,training_mae,training_rmse,total_epochs,validation_r2,validation_mae,validation_rmse,bootstrap_mean_prediction,bootstrap_mean_std,bootstrap_mean_cv,bootstrap_mean_relative_uncertainty,bootstrap_mean_prediction_interval_width,monte_carlo_mean_prediction,monte_carlo_mean_std,monte_carlo_mean_cv,monte_carlo_mean_relative_uncertainty,monte_carlo_mean_prediction_interval_width,bootstrap_spatial_mean_uncertainty,bootstrap_spatial_max_uncertainty,bootstrap_spatial_min_uncertainty,bootstrap_spatial_std_uncertainty,bootstrap_spatial_median_uncertainty,bootstrap_spatial_q25_uncertainty,bootstrap_spatial_q75_uncertainty,monte_carlo_spatial_mean_uncertainty,monte_carlo_spatial_max_uncertainty,monte_carlo_spatial_min_uncertainty,monte_carlo_spatial_std_uncertainty,monte_carlo_spatial_median_uncertainty,monte_carlo_spatial_q25_uncertainty,monte_carlo_spatial_q75_uncertainty,combined_spatial_mean_uncertainty,combined_spatial_max_uncertainty,combined_spatial_min_uncertainty,combined_spatial_std_uncertainty,uncertainty_method_difference
Tsun_sum,24.261637,0.761194,24.751804,32.581215,98,0.740082,26.222114,34.295908,147.649582,55.360062,0.376860,0.376860,184.267071,147.316376,4.948963,0.041426,0.041426,18.089523,55.360062,69.261749,37.665165,4.574650,55.373611,52.350277,58.663662,4.948963,20.473043,0.742880,2.027359,4.589758,3.824601,5.674823,30.154512,69.261749,0.742880,3.301005,50.411098
Tsun_max,0.243598,0.782786,0.528450,0.837822,55,0.795454,0.505803,0.803844,10.098120,1.511656,0.149849,0.149849,5.161143,10.033321,0.202061,0.021262,0.021262,0.741541,1.511656,1.943066,1.151266,0.126374,1.508719,1.426125,1.595951,0.202061,0.475776,0.053714,0.062454,0.207226,0.156470,0.247053,0.856859,1.943066,0.053714,0.094414,1.309595
Tsun_min,0.210506,0.377979,0.354701,0.855349,52,0.330383,0.369016,0.884294,0.268367,0.499613,1.896100,1.896100,1.718230,0.258946,0.069223,10.714350,10.714350,0.251916,0.499613,0.816767,0.178971,0.117437,0.496958,0.416768,0.585128,0.069223,0.416649,0.014675,0.067040,0.037227,0.025217,0.093286,0.284418,0.816767,0.014675,0.092238,0.430390
Tsun_mean,0.466580,0.752681,0.834445,1.089817,60,0.737127,0.860648,1.131437,5.000076,1.924389,0.386655,0.386655,6.699661,4.909605,0.193755,0.056048,0.056048,0.711925,1.924389,2.461628,1.359293,0.161515,1.927013,1.813176,2.030406,0.193755,0.493383,0.080650,0.077262,0.167726,0.132437,0.243991,1.059072,2.461628,0.080650,0.119388,1.730634
TAVE_max,0.965967,0.953550,1.393079,1.829964,58,0.959924,1.326725,1.727952,16.990110,8.346662,0.494194,0.494194,29.954518,16.868864,0.718920,0.120117,0.120117,2.639128,8.346662,10.765358,6.000326,0.735347,8.331411,7.832253,8.829107,0.718920,1.853788,0.115573,0.255460,0.748467,0.538150,0.874730,4.532791,10.765358,0.115573,0.495404,7.627741
TAVE_min,1.042724,0.952552,1.464664,1.932982,74,0.952941,1.467629,1.976365,7.715937,8.609076,1.152488,1.152488,31.298189,7.634064,0.724277,0.224161,0.224161,2.647915,8.609076,10.668598,6.154137,0.791794,8.633187,8.081212,9.131071,0.724277,2.311409,0.079864,0.269605,0.729318,0.569368,0.875871,4.666677,10.668598,0.079864,0.530699,7.884799
TAVE_mean,0.672585,0.974251,1.061777,1.387249,59,0.978416,0.961338,1.288598,12.479568,8.488914,0.688177,0.688177,30.441883,12.336249,0.682744,0.329297,0.329297,2.506847,8.488914,10.648660,6.370033,0.723764,8.478448,8.025992,8.987554,0.682744,1.722554,0.087140,0.228738,0.707889,0.540116,0.812048,4.585829,10.648660,0.087140,0.476251,7.806170
Tmax_max,1.129899,0.926155,1.553915,2.068302,61,0.926567,1.560963,2.063077,25.265055,7.345214,0.291460,0.291460,25.286983,25.197596,0.706307,0.032715,0.032715,2.591422,7.345214,8.947717,4.995824,0.590427,7.324771,6.961207,7.745700,0.706307,1.524428,0.109566,0.233290,0.705081,0.531385,0.862579,4.025761,8.947717,0.109566,0.411858,6.638907
Tmax_min,1.310047,0.916191,1.727197,2.269578,58,0.909229,1.874107,2.432685,11.699301,7.468784,0.644720,0.644720,27.050292,11.633496,0.671294,0.195112,0.195112,2.456749,7.468784,9.371564,5.472239,0.645854,7.483999,7.024570,7.906475,0.671294,1.854855,0.137269,0.227690,0.682721,0.541894,0.805252,4.070039,9.371564,0.137269,0.436772,6.797490
Tmax_mean,0.850722,0.956487,1.265886,1.649741,58,0.956813,1.265003,1.655344,19.007301,7.711056,0.407542,0.407542,26.985543,18.933622,0.637323,0.105240,0.105240,2.345271,7.711056,9.768151,5.755142,0.647037,7.721426,7.280068,8.140435,0.637323,1.230823,0.120444,0.183176,0.651781,0.530920,0.755845,4.174190,9.768151,0.120444,0.415106,7.073733
Tmin_max,0.829342,0.964351,1.233870,1.651538,62,0.970834,1.149007,1.526253,12.691573,8.631084,0.688565,0.688565,30.922686,12.570850,0.628160,0.688725,0.688725,2.302621,8.631084,10.865501,5.946847,0.754325,8.692678,8.122019,9.125834,0.628160,1.397353,0.151983,0.219872,0.654677,0.475836,0.762081,4.629622,10.865501,0.151983,0.487099,8.002924
